State,Grade Level,Total Scholar Awards,AP Scholar,AP Scholar  with Honor,AP Scholar with Distinction,AP International Diploma,AP Capstone Diploma,"AP Seminar 
and Research Certificate",,
SD     ,12th,418,166,94,146,0,12,0,,
SD     ,Not in HS,2,1,0,1,0,0,0,,
,,770,355,165,234,0,16,0,,
TN     ,9th,20,13,6,1,0,0,0,,
TN     ,10th,807,512,148,99,0,3,45,,
TN     ,11th,4215,1728,1000,1230,1,125,131,,
TN     ,12th,5621,2306,863,2088,1,271,92,,
TN     ,Not in HS,13,2,2,7,1,1,0,,
,,10676,4561,2019,3425,3,400,268,,
TX     ,9th,293,258,25,10,0,0,0,,
TX     ,10th,9178,6079,2010,1075,0,1,13,,
TX     ,11th,27600,12195,5182,9374,8,601,240,,
TX     ,12th,33915,16390,4429,12080,34,754,228,,
TX     ,Not in HS,67,31,11,23,0,2,0,,
TX     ,Not yet in 9th,2,1,0,1,0,0,0,,
,,71055,34954,11657,22563,42,1358,481,,
UT     ,9th,66,52,8,6,0,0,0,,
UT     ,10th,831,620,154,57,0,0,0,,
UT     ,11th,2944,1455,721,736,2,21,9,,
UT     ,12th,3463,1407,648,1357,2,37,12,,
UT     ,Not in HS,2,1,0,1,0,0,0,,
UT     ,Not yet in 9th,2,2,0,0,0,0,0,,
,,7308,3537,1531,2157,4,58,21,,
VA     ,9th,46,35,9,2,0,0,0,,
VA     ,10th,1508,1036,314,158,0,0,0,,
VA     ,11th,9447,4160,2113,3062,1,57,54,,
VA     ,12th,13227,5412,1968,5333,21,350,143,,
VA     ,Not in HS,25,14,4,7,0,0,0,,
VA     ,Not yet in 9th,3,2,1,0,0,0,0,,
,,24256,10659,4409,8562,22,407,197,,
VT     ,9th,1,1,0,0,0,0,0,,
VT     ,10th,7,4,2,1,0,0,0,,
VT     ,11th,238,127,62,49,0,0,0,,
VT     ,12th,486,210,94,143,1,23,15,,
VT     ,Not in HS,1,0,1,0,0,0,0,,
,,733,342,159,193,1,23,15,,
WA     ,9th,89,64,13,12,0,0,0,,
WA     ,10th,2007,1127,512,366,0,1,1,,
WA     ,11th,5644,2284,1172,1966,3,102,117,,
WA     ,12th,6724,2553,1081,2844,14,179,53,,
WA     ,Not in HS,12,3,4,5,0,0,0,,
,,14476,6031,2782,5193,17,282,171,,
WI     ,9th,21,17,3,1,0,0,0,,
WI     ,10th,590,398,128,64,0,0,0,,
WI     ,11th,3987,1992,975,972,0,17,31,,
WI     ,12th,7077,2979,1288,2653,5,96,56,,
WI     ,Not in HS,12,5,4,3,0,0,0,,
WI     ,Not yet in 9th,1,1,0,0,0,0,0,,
,,11688,5392,2398,3693,5,113,87,,
WV     ,9th,1,1,0,0,0,0,0,,
WV     ,10th,70,50,10,9,0,0,1,,
WV     ,11th,342,187,66,83,0,2,4,,
WV     ,12th,612,318,110,184,0,0,0,,
,,1025,556,186,276,0,2,5,,
WY     ,9th,1,1,0,0,0,0,0,,
WY     ,10th,16,14,2,0,0,0,0,,
WY     ,11th,169,85,48,36,0,0,0,,
WY     ,12th,216,96,34,76,0,10,0,,
,,402,196,84,112,0,10,0,,
Canada ,9th,86,63,14,8,1,0,0,,
Canada ,10th,457,236,113,105,3,0,0,,
Canada ,11th,1468,625,284,487,41,2,29,,
Canada ,12th,3061,1130,517,1048,71,192,103,,
Canada ,Not in HS,14,5,3,6,0,0,0,,
Canada ,Not yet in 9th,4,2,1,1,0,0,0,,
,,5090,2061,932,1655,116,194,132,,
Non-USA,9th,293,181,85,25,2,0,0,,
Non-USA,10th,3012,1856,638,479,11,6,22,,
Non-USA,11th,13164,4510,2976,5116,308,117,137,,
Non-USA,12th,14153,4222,2145,6398,560,577,251,,
Non-USA,Not in HS,309,143,69,90,6,1,0,,
Non-USA,Not yet in 9th,14,8,3,3,0,0,0,,
,,30945,10920,5916,12111,887,701,410,,
Total Scholars,,735642,330407,135623,242729,1503,15772,9608,,
,,,,,,,,,,
