name,city,stabbr,basic2021,enrprofile2021,sector,control,hbcu,hsi,msi,womens,selindex,rooms,ugtenr20,tribal
California Institute of Integral Studies,San Francisco,CA,3,6,2,2,0,0,0,0,0.0,0,98,0
Cabrillo College,Aptos,CA,0,1,4,1,0,1,1,0,,0,9792,0
California Baptist University,Riverside,CA,4,4,2,2,0,1,1,0,1.0,3459,8109,0
California College of the Arts,San Francisco,CA,1,4,2,2,0,0,0,0,1.0,919,1239,0
"University of California College of the Law, San Francisco",San Francisco,CA,1,7,1,1,0,0,0,0,0.0,425,0,0
California Institute of Technology,Pasadena,CA,2,6,2,2,0,0,0,0,3.0,1547,901,0
California Lutheran University,Thousand Oaks,CA,4,5,2,2,0,1,1,0,2.0,1517,2804,0
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,4,3,1,1,0,0,0,0,3.0,7764,21456,0
Alliant International University-San Diego,San Diego,CA,3,6,3,3,0,0,0,0,0.0,0,431,0
California State University-Bakersfield,Bakersfield,CA,4,4,1,1,0,1,1,0,2.0,496,9979,0
California State University-Stanislaus,Turlock,CA,4,4,1,1,0,0,0,0,1.0,730,9903,0
California State University-San Bernardino,San Bernardino,CA,2,4,1,1,0,1,1,0,1.0,1700,17250,0
California State Polytechnic University-Pomona,Pomona,CA,4,3,1,1,0,0,0,0,1.0,4131,27912,0
California State University-Chico,Chico,CA,4,3,1,1,0,1,1,0,1.0,2323,15747,0
California State University-Dominguez Hills,Carson,CA,4,4,1,1,0,1,1,0,1.0,563,16022,0
California State University-Fresno,Fresno,CA,2,3,1,1,0,0,0,0,1.0,1139,22704,0
California State University-Fullerton,Fullerton,CA,2,3,1,1,0,0,0,0,1.0,2045,36975,0
California State University-East Bay,Hayward,CA,2,4,1,1,0,1,1,0,2.0,1634,13141,0
California State University-Long Beach,Long Beach,CA,2,4,1,1,0,0,0,0,2.0,2743,34216,0
California State University-Los Angeles,Los Angeles,CA,4,4,1,1,0,1,1,0,1.0,1060,22832,0
California State University-Northridge,Northridge,CA,4,4,1,1,0,1,1,0,1.0,3443,34916,0
California State University-Sacramento,Sacramento,CA,4,3,1,1,0,1,1,0,1.0,2175,29296,0
University of California-Berkeley,Berkeley,CA,2,5,1,1,0,0,0,0,3.0,10104,30799,0
University of California-Davis,Davis,CA,2,4,1,1,0,0,0,0,3.0,8284,31162,0
University of California-Irvine,Irvine,CA,2,4,1,1,0,0,0,0,3.0,13000,29638,0
University of California-Los Angeles,Los Angeles,CA,2,5,1,1,0,0,0,0,3.0,19093,31636,0
University of California-Riverside,Riverside,CA,2,4,1,1,0,1,1,0,2.0,7400,22693,0
University of California-San Diego,La Jolla,CA,2,4,1,1,0,0,0,0,3.0,17598,31842,0
University of California-San Francisco,San Francisco,CA,1,7,1,1,0,0,0,0,0.0,2402,0,0
University of California-Santa Barbara,Santa Barbara,CA,2,4,1,1,0,1,1,0,3.0,9665,23196,0
University of California-Santa Cruz,Santa Cruz,CA,2,4,1,1,0,1,1,0,3.0,9291,17207,0
Sofia University,Palo Alto,CA,1,6,3,3,0,0,0,0,0.0,0,10,0
California Christian College,Fresno,CA,1,2,2,2,0,1,1,0,1.0,4,13,0
Haven University,Garden Grove,CA,1,5,2,2,0,0,0,0,1.0,0,24,0
California Institute of the Arts,Valencia,CA,4,5,2,2,0,0,0,0,3.0,532,762,0
California State University Maritime Academy,Vallejo,CA,5,3,1,1,0,0,0,0,1.0,984,907,0
California Western School of Law,San Diego,CA,1,7,2,2,0,0,0,0,0.0,0,0,0
Canada College,Redwood City,CA,0,1,4,1,0,1,1,0,,0,5231,0
College of the Canyons,Santa Clarita,CA,0,1,4,1,0,1,1,0,,0,20573,0
Casa Loma College-Los Angeles,Van Nuys,CA,1,1,2,2,0,0,0,0,,0,164,0
Cerritos College,Norwalk,CA,0,1,4,1,0,1,1,0,,0,20406,0
Cerro Coso Community College,Ridgecrest,CA,0,1,4,1,0,0,0,0,,0,5159,0
Chabot College,Hayward,CA,0,1,4,1,0,1,1,0,,0,11922,0
Chaffey College,Rancho Cucamonga,CA,0,1,4,1,0,1,1,0,,0,20025,0
Chapman University,Orange,CA,2,4,2,2,0,0,0,0,3.0,3714,7404,0
Charles R Drew University of Medicine and Science,Los Angeles,CA,1,6,2,2,0,0,0,0,3.0,0,241,0
Concordia University-Irvine,Irvine,CA,3,6,2,2,0,0,0,0,2.0,1024,1704,0
San Diego Christian College,Santee,CA,4,3,2,2,0,0,0,0,1.0,175,464,0
Church Divinity School of the Pacific,Berkeley,CA,1,7,2,2,0,0,0,0,0.0,65,0,0
Citrus College,Glendora,CA,0,1,4,1,0,1,1,0,,0,11863,0
City College of San Francisco,San Francisco,CA,0,1,4,1,0,0,0,0,,0,19707,0
Claremont Graduate University,Claremont,CA,2,7,2,2,0,0,0,0,0.0,0,0,0
Claremont McKenna College,Claremont,CA,5,3,2,2,0,0,0,0,3.0,1236,1262,0
Coastline Community College,Fountain Valley,CA,0,1,4,1,0,0,0,0,,0,8826,0
University of Silicon Valley,San Jose,CA,5,3,3,3,0,0,0,0,3.0,200,514,0
Western University of Health Sciences,Pomona,CA,1,7,2,2,0,0,0,0,0.0,0,0,0
Columbia College,Sonora,CA,0,1,4,1,0,0,0,0,,0,2132,0
California College of ASU,Tarzana,CA,1,2,2,2,0,0,0,0,1.0,0,760,0
Compton College,Compton,CA,0,1,4,1,0,0,0,0,,0,4612,0
Contra Costa College,San Pablo,CA,0,1,4,1,0,0,0,0,,0,6249,0
Cosumnes River College,Sacramento,CA,0,1,4,1,0,0,0,0,,0,14667,0
Crafton Hills College,Yucaipa,CA,0,1,4,1,0,0,0,0,,0,6012,0
Cuesta College,San Luis Obispo,CA,0,1,4,1,0,1,1,0,,0,10093,0
Cuyamaca College,El Cajon,CA,0,1,4,1,0,1,1,0,,0,8720,0
Cypress College,Cypress,CA,0,2,1,1,0,1,1,0,1.0,0,15325,0
De Anza College,Cupertino,CA,0,1,4,1,0,0,0,0,,0,18649,0
Dell'Arte International School of Physical Theatre,Blue Lake,CA,1,7,2,2,0,0,0,0,1.0,0,0,0
College of the Desert,Palm Desert,CA,0,1,4,1,0,1,1,0,,0,10932,0
Design Institute of San Diego,San Diego,CA,1,3,3,3,0,0,0,0,1.0,0,124,0
Diablo Valley College,Pleasant Hill,CA,0,1,4,1,0,0,0,0,,0,18693,0
Dominican University of California,San Rafael,CA,4,4,2,2,0,0,0,0,2.0,535,1379,0
Dominican School of Philosophy & Theology,Berkeley,CA,4,7,2,2,0,0,0,0,0.0,15,0,0
East Los Angeles College,Monterey Park,CA,0,1,4,1,0,1,1,0,,0,33397,0
El Camino Community College District,Torrance,CA,0,1,4,1,0,0,0,0,,0,20418,0
Emperor's College of Traditional Oriental Medicine,Santa Monica,CA,1,7,3,3,0,0,0,0,0.0,0,0,0
Empire College,Santa Rosa,CA,5,5,3,3,0,0,0,0,1.0,0,166,0
Evergreen Valley College,San Jose,CA,0,1,4,1,0,0,0,0,,0,8699,0
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,CA,5,3,3,3,0,0,0,0,3.0,0,1847,0
FIDM-Fashion Institute of Design & Merchandising-San Francisco,San Francisco,CA,5,2,3,3,0,0,0,0,3.0,0,113,0
Feather River Community College District,Quincy,CA,0,2,1,1,0,0,0,0,1.0,240,1821,0
Fielding Graduate University,Santa Barbara,CA,3,7,2,2,0,0,0,0,0.0,0,0,0
Five Branches University,Santa Cruz,CA,1,7,3,3,0,0,0,0,0.0,0,0,0
Foothill College,Los Altos Hills,CA,0,2,1,1,0,0,0,0,1.0,0,14605,0
Franciscan School of Theology,San Diego,CA,1,7,2,2,0,0,0,0,0.0,0,0,0
Fresno City College,Fresno,CA,0,1,4,1,0,1,1,0,,0,22278,0
Fresno Pacific University,Fresno,CA,4,4,2,2,0,1,1,0,1.0,574,2711,0
Fuller Theological Seminary,Pasadena,CA,1,7,2,2,0,0,0,0,0.0,226,0,0
Fullerton College,Fullerton,CA,0,1,4,1,0,1,1,0,,0,21427,0
Gavilan College,Gilroy,CA,0,1,4,1,0,1,1,0,,0,4494,0
Glendale Community College,Glendale,CA,0,1,4,1,0,1,1,0,,0,12973,0
Glendale Career College,Glendale,CA,1,1,3,3,0,0,0,0,,0,632,0
Golden Gate University,San Francisco,CA,4,6,2,2,0,0,0,0,0.0,0,595,0
Golden West College,Huntington Beach,CA,0,1,4,1,0,0,0,0,,0,11396,0
Graduate Theological Union,Berkeley,CA,1,7,2,2,0,0,0,0,0.0,0,0,0
Grossmont College,El Cajon,CA,0,1,4,1,0,1,1,0,,0,15426,0
Hartnell College,Salinas,CA,0,1,4,1,0,1,1,0,,0,8673,0
Harvey Mudd College,Claremont,CA,5,2,2,2,0,0,0,0,3.0,930,854,0
Holy Names University,Oakland,CA,4,4,2,2,0,1,1,0,1.0,440,709,0
Pacifica Graduate Institute,Carpinteria,CA,1,7,3,3,0,0,0,0,0.0,80,0,0
California State Polytechnic University-Humboldt,Arcata,CA,4,3,1,1,0,1,1,0,1.0,2069,6008,0
Humphreys University-Stockton and Modesto Campuses,Stockton,CA,4,5,2,2,0,1,1,0,1.0,0,227,0
Imperial Valley College,Imperial,CA,0,1,4,1,0,1,1,0,,0,7123,0
Institute for Business and Technology,Santa Clara,CA,1,1,6,3,0,0,0,0,,0,579,0
Interior Designers Institute,Newport Beach,CA,1,3,3,3,0,0,0,0,1.0,0,139,0
Irvine Valley College,Irvine,CA,0,1,4,1,0,0,0,0,,0,12199,0
American Jewish University,Los Angeles,CA,5,6,2,2,0,0,0,0,1.0,204,37,0
Reedley College,Reedley,CA,0,1,4,1,0,1,1,0,,140,6796,0
Life Pacific University,San Dimas,CA,5,4,2,2,0,1,1,0,1.0,305,490,0
University of La Verne,La Verne,CA,3,5,2,2,0,1,1,0,1.0,1002,4120,0
Laguna College of Art and Design,Laguna Beach,CA,1,3,2,2,0,0,0,0,1.0,56,732,0
Lake Tahoe Community College,South Lake Tahoe,CA,0,1,4,1,0,0,0,0,,30,2332,0
Laney College,Oakland,CA,0,1,4,1,0,0,0,0,,0,9225,0
Lassen Community College,Susanville,CA,0,1,4,1,0,0,0,0,,108,1821,0
Latin American Bible Institute,La Puente,CA,1,2,2,2,0,0,0,0,2.0,116,60,0
Life Chiropractic College West,Hayward,CA,1,7,2,2,0,0,0,0,0.0,0,0,0
Lincoln University,Oakland,CA,1,6,2,2,0,0,0,0,1.0,0,88,0
Southern California Seminary,El Cajon,CA,5,6,2,2,0,0,0,0,1.0,10,50,0
La Sierra University,Riverside,CA,4,4,2,2,0,1,1,0,1.0,850,1577,0
Loma Linda University,Loma Linda,CA,2,6,2,2,0,0,0,0,0.0,510,1168,0
Long Beach City College,Long Beach,CA,0,1,4,1,0,1,1,0,,0,23147,0
Southern California University of Health Sciences,Whittier,CA,1,6,2,2,0,0,0,0,1.0,0,418,0
Los Angeles Harbor College,Wilmington,CA,0,1,4,1,0,1,1,0,,0,8101,0
Los Angeles Pierce College,Woodland Hills,CA,0,1,4,1,0,1,1,0,,0,17521,0
Los Angeles Southwest College,Los Angeles,CA,0,1,4,1,0,1,1,0,,0,5216,0
