COUNTY_NAME,SCHOOL_NAME,Asian,Asian,Asian,Black,Black,Black,Hispanic,Hispanic,Hispanic,Multiracial,Multiracial,Multiracial,White,White,White,Paid meals,Paid meals,Paid meals,Free/Reduced price meals,Free/Reduced price meals,Free/Reduced price meals
Name,Name,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM
Marion,MSD Washington Township,35,12,21,303,15,38,148,20,28,45,6,9,286,131,180,517,153,216,302,24,48
Marion,MSD Wayne Township,***,***,***,398,9,62,356,20,58,48,1,10,250,18,48,465,24,74,589,21,80
Marion,Beech Grove City Schools,,,,26,0,5,28,3,5,12,1,4,118,5,27,108,5,12,76,4,14
Marion,Indianapolis Public Schools,***,***,***,511,2,51,395,10,62,53,0,6,112,1,19,376,5,35,687,6,78
Marion,School Town of Speedway,12,4,9,30,5,20,23,9,15,***,***,***,51,26,47,71,23,48,49,13,32
Marshall,Culver Community Schools Corp,,,,,,,***,***,***,***,***,***,48,3,6,27,2,5,27,1,2
Marshall,Argos Community Schools,,,,,,,***,***,***,***,***,***,49,13,27,32,7,17,21,6,9
Marshall,Bremen Public Schools,,,,***,***,***,29,7,10,,,,106,5,9,96,9,14,40,2,4
Marshall,Plymouth Community School Corp,***,***,***,,,,66,18,21,***,***,***,172,48,62,151,41,54,96,19,21
Marshall,Triton School Corporation,***,***,***,,,,***,***,***,***,***,***,47,0,5,37,1,5,17,0,0
Martin,Shoals Community School Corp,,,,,,,***,***,***,***,***,***,49,1,12,26,1,8,24,0,5
Martin,Loogootee Community Sch Corp,***,***,***,,,,***,***,***,***,***,***,61,2,26,43,0,23,21,2,4
Miami,Maconaquah School Corp,,,,***,***,***,***,***,***,***,***,***,101,12,30,84,12,27,31,2,5
Miami,North Miami Community Schools,,,,,,,***,***,***,***,***,***,58,3,18,45,3,13,18,1,4
Grant,Oak Hill United School Corp,,,,***,***,***,***,***,***,***,***,***,104,23,36,87,20,29,32,3,7
Miami,Peru Community Schools,***,***,***,***,***,***,11,0,2,***,***,***,132,7,39,84,4,28,65,4,10
Monroe,Richland-Bean Blossom C S C,,,,***,***,***,***,***,***,***,***,***,161,50,80,137,49,73,41,7,14
Monroe,Monroe County Community Sch Corp,29,19,23,31,1,4,53,6,16,55,7,15,557,162,253,557,175,272,170,14,25
