GeoFIPS,GeoName,Description,Unit,2018,2019,2020,2021,2022
" ""01093""","Marion, AL",Population (persons) 1/,Number of persons,29456,29465,29166,29006,29156
" ""01093""","Marion, AL",Per capita personal income (dollars) 2/,Dollars,32615,33476,37100,41264,42330
" ""01095""","Marshall, AL",Personal income (thousands of dollars) ,Thousands of dollars,3449773,3668845,4019939,4453479,4562769
" ""01095""","Marshall, AL",Population (persons) 1/,Number of persons,96774,97362,97696,98316,99423
" ""01095""","Marshall, AL",Per capita personal income (dollars) 2/,Dollars,35648,37683,41147,45298,45892
" ""01097""","Mobile, AL",Personal income (thousands of dollars) ,Thousands of dollars,15723309,16308421,17575062,19565291,19577510
" ""01097""","Mobile, AL",Population (persons) 1/,Number of persons,415734,415135,414353,413017,411411
" ""01097""","Mobile, AL",Per capita personal income (dollars) 2/,Dollars,37821,39285,42416,47372,47586
" ""01099""","Monroe, AL",Personal income (thousands of dollars) ,Thousands of dollars,688619,705532,763078,823450,798999
" ""01099""","Monroe, AL",Population (persons) 1/,Number of persons,20435,20027,19704,19557,19404
" ""01099""","Monroe, AL",Per capita personal income (dollars) 2/,Dollars,33698,35229,38727,42105,41177
" ""01101""","Montgomery, AL",Personal income (thousands of dollars) ,Thousands of dollars,9748649,9919317,10529239,11158054,11136712
" ""01101""","Montgomery, AL",Population (persons) 1/,Number of persons,229840,229659,228322,226953,226361
" ""01101""","Montgomery, AL",Per capita personal income (dollars) 2/,Dollars,42415,43192,46116,49165,49199
" ""01103""","Morgan, AL",Personal income (thousands of dollars) ,Thousands of dollars,4727652,4966028,5279542,5707082,5738903
" ""01103""","Morgan, AL",Population (persons) 1/,Number of persons,122037,122804,123288,123403,124211
" ""01103""","Morgan, AL",Per capita personal income (dollars) 2/,Dollars,38739,40439,42823,46248,46203
" ""01105""","Perry, AL",Personal income (thousands of dollars) ,Thousands of dollars,276975,284304,318879,332635,307674
" ""01105""","Perry, AL",Population (persons) 1/,Number of persons,8856,8727,8458,8317,8035
" ""01105""","Perry, AL",Per capita personal income (dollars) 2/,Dollars,31275,32578,37701,39995,38292
" ""01107""","Pickens, AL",Personal income (thousands of dollars) ,Thousands of dollars,657473,697481,744224,795575,797687
" ""01107""","Pickens, AL",Population (persons) 1/,Number of persons,19364,19285,18922,18615,18697
" ""01107""","Pickens, AL",Per capita personal income (dollars) 2/,Dollars,33953,36167,39331,42738,42664
" ""01109""","Pike, AL",Personal income (thousands of dollars) ,Thousands of dollars,1226773,1249025,1347047,1487372,1543917
" ""01109""","Pike, AL",Population (persons) 1/,Number of persons,33420,33066,32906,32740,33014
" ""01109""","Pike, AL",Per capita personal income (dollars) 2/,Dollars,36708,37774,40936,45430,46766
" ""01111""","Randolph, AL",Personal income (thousands of dollars) ,Thousands of dollars,747901,766717,806492,924518,957371
" ""01111""","Randolph, AL",Population (persons) 1/,Number of persons,21993,21940,22092,22199,22479
" ""01111""","Randolph, AL",Per capita personal income (dollars) 2/,Dollars,34006,34946,36506,41647,42590
" ""01113""","Russell, AL",Personal income (thousands of dollars) ,Thousands of dollars,1860026,1942430,2123480,2322303,2251542
" ""01113""","Russell, AL",Population (persons) 1/,Number of persons,58754,59020,59259,58668,58555
" ""01113""","Russell, AL",Per capita personal income (dollars) 2/,Dollars,31658,32911,35834,39584,38452
" ""01115""","St. Clair, AL",Personal income (thousands of dollars) ,Thousands of dollars,3513059,3729177,3980621,4374641,4514142
" ""01115""","St. Clair, AL",Population (persons) 1/,Number of persons,89357,90316,91652,92903,93932
" ""01115""","St. Clair, AL",Per capita personal income (dollars) 2/,Dollars,39315,41290,43432,47088,48058
" ""01117""","Shelby, AL",Personal income (thousands of dollars) ,Thousands of dollars,11877859,12648206,13278982,14674268,15510946
" ""01117""","Shelby, AL",Population (persons) 1/,Number of persons,217779,220325,223881,227428,230115
" ""01117""","Shelby, AL",Per capita personal income (dollars) 2/,Dollars,54541,57407,59313,64523,67405
" ""01119""","Sumter, AL",Personal income (thousands of dollars) ,Thousands of dollars,384072,401666,436901,465273,456786
" ""01119""","Sumter, AL",Population (persons) 1/,Number of persons,12726,12429,12196,11961,11853
" ""01119""","Sumter, AL",Per capita personal income (dollars) 2/,Dollars,30180,32317,35823,38899,38538
" ""01121""","Talladega, AL",Personal income (thousands of dollars) ,Thousands of dollars,2741781,2885066,3080474,3320410,3327474
" ""01121""","Talladega, AL",Population (persons) 1/,Number of persons,81940,82156,81428,80483,80704
" ""01121""","Talladega, AL",Per capita personal income (dollars) 2/,Dollars,33461,35117,37831,41256,41231
" ""01123""","Tallapoosa, AL",Personal income (thousands of dollars) ,Thousands of dollars,1633447,1730142,1842218,1972411,1998208
" ""01123""","Tallapoosa, AL",Population (persons) 1/,Number of persons,41461,41353,41286,41132,40977
" ""01123""","Tallapoosa, AL",Per capita personal income (dollars) 2/,Dollars,39397,41838,44621,47953,48764
" ""01125""","Tuscaloosa, AL",Personal income (thousands of dollars) ,Thousands of dollars,8092333,8474050,9061640,9653895,9762993
" ""01125""","Tuscaloosa, AL",Population (persons) 1/,Number of persons,221687,225154,231534,235668,236780
" ""01125""","Tuscaloosa, AL",Per capita personal income (dollars) 2/,Dollars,36503,37637,39137,40964,41232
" ""01127""","Walker, AL",Personal income (thousands of dollars) ,Thousands of dollars,2545706,2687098,2791266,2972551,3004530
" ""01127""","Walker, AL",Population (persons) 1/,Number of persons,65320,65495,65132,64629,64339
" ""01127""","Walker, AL",Per capita personal income (dollars) 2/,Dollars,38973,41028,42856,45994,46698
" ""01129""","Washington, AL",Personal income (thousands of dollars) ,Thousands of dollars,589425,603307,617100,667400,660167
" ""01129""","Washington, AL",Population (persons) 1/,Number of persons,15782,15662,15327,15234,15122
" ""01129""","Washington, AL",Per capita personal income (dollars) 2/,Dollars,37348,38520,40262,43810,43656
" ""01131""","Wilcox, AL",Personal income (thousands of dollars) ,Thousands of dollars,341705,352483,375180,408462,401160
" ""01131""","Wilcox, AL",Population (persons) 1/,Number of persons,10858,10688,10432,10331,10059
" ""01131""","Wilcox, AL",Per capita personal income (dollars) 2/,Dollars,31470,32979,35964,39538,39881
" ""01133""","Winston, AL",Personal income (thousands of dollars) ,Thousands of dollars,801907,845816,925106,995778,1040110
" ""01133""","Winston, AL",Population (persons) 1/,Number of persons,23689,23698,23488,23672,23755
" ""01133""","Winston, AL",Per capita personal income (dollars) 2/,Dollars,33851,35691,39386,42066,43785
" ""02000""",Alaska,Personal income (thousands of dollars) ,Thousands of dollars,43522749,44507583,45366320,48207950,50349667
" ""02000""",Alaska,Population (persons) 1/,Number of persons,737717,734823,732923,734182,733583
" ""02000""",Alaska,Per capita personal income (dollars) 2/,Dollars,58997,60569,61898,65662,68635
" ""02010""","Aleutian Islands Census Area, AK*",Personal income (thousands of dollars) ,Thousands of dollars,(NA),(NA),(NA),(NA),(NA)
" ""02010""","Aleutian Islands Census Area, AK*",Population (persons) 1/,Number of persons,(NA),(NA),(NA),(NA),(NA)
" ""02010""","Aleutian Islands Census Area, AK*",Per capita personal income (dollars) 2/,Dollars,(NA),(NA),(NA),(NA),(NA)
" ""02013""","Aleutians East Borough, AK*",Personal income (thousands of dollars) ,Thousands of dollars,192045,202909,195259,201226,217059
" ""02013""","Aleutians East Borough, AK*",Population (persons) 1/,Number of persons,3405,3370,3425,3424,3398
" ""02013""","Aleutians East Borough, AK*",Per capita personal income (dollars) 2/,Dollars,56401,60210,57010,58769,63878
" ""02016""","Aleutians West Census Area, AK*",Personal income (thousands of dollars) ,Thousands of dollars,305957,315734,326850,327531,354746
" ""02016""","Aleutians West Census Area, AK*",Population (persons) 1/,Number of persons,5293,5271,5222,5155,5122
" ""02016""","Aleutians West Census Area, AK*",Per capita personal income (dollars) 2/,Dollars,57804,59900,62591,63537,69259
" ""02020""","Anchorage Municipality, AK",Personal income (thousands of dollars) ,Thousands of dollars,19242734,19398914,19710277,20881987,21681255
" ""02020""","Anchorage Municipality, AK",Population (persons) 1/,Number of persons,294257,292006,290866,288702,287145
" ""02020""","Anchorage Municipality, AK",Per capita personal income (dollars) 2/,Dollars,65394,66433,67764,72331,75506
" ""02050""","Bethel Census Area, AK*",Personal income (thousands of dollars) ,Thousands of dollars,815785,828201,853520,865498,889120
" ""02050""","Bethel Census Area, AK*",Population (persons) 1/,Number of persons,18434,18685,18673,18599,18257
" ""02050""","Bethel Census Area, AK*",Per capita personal income (dollars) 2/,Dollars,44254,44324,45709,46535,48700
" ""02060""","Bristol Bay Borough, AK",Personal income (thousands of dollars) ,Thousands of dollars,121728,117885,115645,131155,136277
