#RPT_NAME,LONG_SCHOOL_YEAR,DETAIL_LVL_DESC,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_NM,NUMBER_OF_STUDENTS_TESTED,NUMBER_TESTS_TAKEN,NUMBER_TESTS_3_OR_HIGHER
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0105","Adairsville High School","Computer Science A","23","23","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0105","Adairsville High School","Computer Science Principles","42","42","17"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0105","Adairsville High School","Economics: Micro","23","23","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0105","Adairsville High School","Eng. Language & Comp","69","69","23"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0105","Adairsville High School","Eng. Literature & Comp","31","31","10"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0105","Adairsville High School","Environmental Science","48","48","11"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0105","Adairsville High School","Geography: Human","50","50","14"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0105","Adairsville High School","Gov. & Pol. U.S.","18","18","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0105","Adairsville High School","Physics 1","41","41","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0105","Adairsville High School","Psychology","24","24","15"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0105","Adairsville High School","Spanish Language","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0105","Adairsville High School","Statistics","13","13","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0105","Adairsville High School","U.S. History","39","39","13"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0105","Adairsville High School","World History","89","89","32"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","608","Bartow County","0114","Cass High School","ALL Subjects","226","471","193"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0114","Cass High School","Art: Studio 2-D Design","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0114","Cass High School","Art: Studio 3-D Design","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0114","Cass High School","Biology","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0114","Cass High School","Calculus A","18","18","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0114","Cass High School","Computer Science Principles","15","15","11"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0114","Cass High School","Economics: Micro","31","31","25"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0114","Cass High School","Eng. Language & Comp","55","55","26"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0114","Cass High School","Eng. Literature & Comp","27","27","20"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0114","Cass High School","Environmental Science","23","23","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0114","Cass High School","European History","28","28","10"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0114","Cass High School","French Language","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0114","Cass High School","Geography: Human","28","28","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0114","Cass High School","Gov. & Pol. Comp","41","41","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0114","Cass High School","Psychology","35","35","19"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0114","Cass High School","Spanish Language","21","21","18"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0114","Cass High School","Statistics","17","17","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0114","Cass High School","U.S. History","63","63","15"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0114","Cass High School","World History","46","46","17"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","608","Bartow County","0195","Cass Middle School","ALL Subjects","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0195","Cass Middle School","Computer Science Principles","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0195","Cass Middle School","Environmental Science","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0195","Cass Middle School","Geography: Human","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","608","Bartow County","0198","Woodland High School","ALL Subjects","318","585","305"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0198","Woodland High School","Art: Studio 2-D Design","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0198","Woodland High School","Art: Studio 3-D Design","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0198","Woodland High School","Art: Studio Drawing","21","21","18"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0198","Woodland High School","Biology","54","54","21"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0198","Woodland High School","Calculus A","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0198","Woodland High School","Calculus BC","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0198","Woodland High School","Capstone","41","41","27"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0198","Woodland High School","Capstone Research","33","33","22"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0198","Woodland High School","Chemistry","11","11","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0198","Woodland High School","Economics: Micro","39","39","20"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0198","Woodland High School","Eng. Language & Comp","25","25","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0198","Woodland High School","Eng. Literature & Comp","32","32","22"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0198","Woodland High School","Environmental Science","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0198","Woodland High School","European History","27","27","13"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0198","Woodland High School","Geography: Human","25","25","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0198","Woodland High School","Gov. & Pol. U.S.","13","13","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0198","Woodland High School","Music Theory","10","10","TFS"
