,County,State_Abbreviation,Income,Population
590,Caribou,ID,50947,7219
591,Cassia,ID,54685,25696
592,Clark,ID,44385,801
593,Clearwater,ID,43947,9214
594,Custer,ID,52420,4523
595,Elmore,ID,46255,29724
596,Franklin,ID,45872,15494
597,Fremont (includes Yellowstone Park),ID,47011,14196
598,Gem,ID,47755,21071
599,Gooding,ID,63424,16061
600,Idaho,ID,45574,17890
601,Jefferson,ID,48137,34198
602,Jerome,ID,46359,25479
603,Kootenai,ID,63893,185010
604,Latah,ID,54794,41301
605,Lemhi,ID,53841,8441
606,Lewis,ID,54650,3739
607,Lincoln,ID,46300,5450
608,Madison,ID,29168,54547
609,Minidoka,ID,49862,22480
610,Nez Perce,ID,56586,42987
611,Oneida,ID,49108,4953
612,Owyhee,ID,48928,12722
613,Payette,ID,49505,27279
614,Power,ID,46316,8253
615,Shoshone,ID,45440,14026
616,Teton,ID,69601,12549
617,Twin Falls,ID,52087,95156
618,Valley,ID,66382,12644
619,Washington,ID,44134,11425
620,Adams,IL,59776,64441
621,Alexander,IL,52117,4695
622,Bond,IL,47531,16450
623,Boone,IL,57922,53202
624,Brown,IL,48654,6294
625,Bureau,IL,53797,32729
626,Calhoun,IL,58359,4317
627,Carroll,IL,52391,15526
628,Cass,IL,52006,12596
629,Champaign,IL,58838,205644
630,Christian,IL,52047,33228
631,Clark,IL,53733,15088
632,Clay,IL,52329,12999
633,Clinton,IL,63612,36785
634,Coles,IL,55509,46060
635,Cook,IL,77937,5087072
636,Crawford,IL,60780,18300
637,Cumberland,IL,97381,10261
638,DeKalb,IL,53309,100288
639,De Witt,IL,58783,15365
640,Douglas,IL,71677,19629
641,DuPage,IL,95811,921213
642,Edgar,IL,57659,16334
643,Edwards,IL,51839,5968
644,Effingham,IL,67028,34331
645,Fayette,IL,46554,21164
646,Ford,IL,71035,13250
647,Franklin,IL,48167,37138
648,Fulton,IL,50832,32541
649,Gallatin,IL,57607,4670
650,Greene,IL,53257,11543
651,Grundy,IL,61898,53578
652,Hamilton,IL,55005,7911
653,Hancock,IL,58593,17186
654,Hardin,IL,55331,3569
655,Henderson,IL,56375,6088
656,Henry,IL,58648,48448
657,Iroquois,IL,57912,26136
658,Jackson,IL,49775,52141
659,Jasper,IL,56458,9144
660,Jefferson,IL,49840,36320
661,Jersey,IL,55010,21091
662,Jo Daviess,IL,59940,21756
663,Johnson,IL,41389,13326
664,Kane,IL,67922,514982
665,Kankakee,IL,53698,105940
666,Kendall,IL,61717,139976
667,Knox,IL,49682,48411
668,Lake,IL,99895,708760
669,LaSalle,IL,56311,108309
670,Lawrence,IL,41696,14813
671,Lee,IL,53618,33654
672,Livingston,IL,57597,35320
673,Logan,IL,49419,27590
674,McDonough,IL,50246,26839
675,McHenry,IL,69641,312800
676,McLean,IL,61174,170441
677,Macon,IL,60030,100591
678,Macoupin,IL,54510,44018
679,Madison,IL,60115,262752
680,Marion,IL,53678,36673
681,Marshall,IL,58048,11683
682,Mason,IL,57624,12523
683,Massac,IL,48903,13661
684,Menard,IL,59630,11954
685,Mercer,IL,59739,15487
686,Monroe,IL,74760,34957
687,Montgomery,IL,45501,27663
688,Morgan,IL,52865,32140
689,Moultrie,IL,85579,14342
690,Ogle,IL,57128,51265
691,Peoria,IL,62066,177513
692,Perry,IL,47556,20503
693,Piatt,IL,70047,16714
694,Pike,IL,56213,14342
695,Pope,IL,40154,3707
696,Pulaski,IL,47344,4911
697,Putnam,IL,70122,5561
698,Randolph,IL,48860,29815
699,Richland,IL,52848,15488
700,Rock Island,IL,52525,141236
701,St. Clair,IL,59412,251018
702,Saline,IL,51956,22873
703,Sangamon,IL,60497,193491
704,Schuyler,IL,53470,6733
705,Scott,IL,56623,4710
706,Shelby,IL,54393,20568
707,Stark,IL,62669,5218
708,Stephenson,IL,54743,43105
709,Tazewell,IL,60555,129541
710,Union,IL,51681,16667
711,Vermilion,IL,51471,71652
712,Wabash,IL,53847,10942
713,Warren,IL,56656,16185
714,Washington,IL,62378,13536
715,Wayne,IL,50793,15761
716,White,IL,61640,13401
717,Whiteside,IL,54875,54498
718,Will,IL,68225,700728
719,Williamson,IL,55757,66706
720,Winnebago,IL,53553,280922
721,Woodford,IL,66670,38285
722,Adams,IN,50881,36288
723,Allen,IN,60607,394545
724,Bartholomew,IN,65564,84003
725,Benton,IN,56092,8729
726,Blackford,IN,46989,11893
727,Boone,IN,97028,76120
728,Brown,IN,61898,15653
729,Carroll,IN,53144,20525
730,Cass,IN,49257,37666
731,Clark,IN,56729,125467
732,Clay,IN,47328,26460
733,Clinton,IN,48728,32730
734,Crawford,IN,44174,10438
735,Daviess,IN,59193,33656
736,Dearborn,IN,60731,51215
737,Decatur,IN,55366,26399
738,DeKalb,IN,56870,44198
739,Delaware,IN,47629,112321
740,Dubois,IN,68645,43546
741,Elkhart,IN,58662,206409
742,Fayette,IN,50175,23362
743,Floyd,IN,66690,80809
744,Fountain,IN,53298,16731
745,Franklin,IN,57550,23096
746,Fulton,IN,52342,20358
747,Gibson,IN,58378,32904
748,Grant,IN,49748,66200
749,Greene,IN,52586,31196
750,Hamilton,IN,99456,371645
751,Hancock,IN,65651,86166
752,Harrison,IN,57403,40006
753,Hendricks,IN,62305,186387
754,Henry,IN,48320,48929
755,Howard,IN,50368,83831
756,Huntington,IN,52450,36781
757,Jackson,IN,51461,46460
758,Jasper,IN,60384,33535
759,Jay,IN,53566,20032
760,Jefferson,IN,54925,33056
761,Jennings,IN,51768,27622
762,Johnson,IN,61983,167819
763,Knox,IN,56279,36070
764,Kosciusko,IN,59499,80364
765,Lagrange,IN,53984,40907
766,Lake,IN,56172,500598
767,LaPorte,IN,53144,111706
768,Lawrence,IN,54421,45084
769,Madison,IN,48479,132504
770,Marion,IN,70999,968460
771,Marshall,IN,53579,46352
772,Martin,IN,53113,9897
773,Miami,IN,42691,35402
774,Monroe,IN,57379,139342
775,Montgomery,IN,51959,38573
776,Morgan,IN,56426,73227
777,Newton,IN,53359,13960
778,Noble,IN,52042,47430
779,Ohio,IN,55398,6004
780,Orange,IN,47330,19638
781,Owen,IN,51946,21532
782,Parke,IN,53000,16484
783,Perry,IN,46830,19209
784,Pike,IN,50515,12106
785,Porter,IN,66906,175335
786,Posey,IN,61689,25040
787,Pulaski,IN,59327,12385
788,Putnam,IN,48687,37567
789,Randolph,IN,55009,24216
790,Ripley,IN,52541,29227
791,Rush,IN,58058,16847
792,St. Joseph,IN,56895,272848
793,Scott,IN,46902,24657
794,Shelby,IN,55484,45231
795,Spencer,IN,56258,19910
796,Starke,IN,44313,23206
797,Steuben,IN,56713,34917
798,Sullivan,IN,45407,20757
799,Switzerland,IN,43212,10019
800,Tippecanoe,IN,50492,188792
801,Tipton,IN,53169,15256
802,Union,IN,51547,6973
803,Vanderburgh,IN,59500,179810
804,Vermillion,IN,48525,15417
805,Vigo,IN,48802,106153
806,Wabash,IN,56584,30670
807,Warren,IN,56648,8518
808,Warrick,IN,71369,65867
809,Washington,IN,51198,28205
810,Wayne,IN,52493,66127
811,Wells,IN,53280,28555
812,White,IN,56248,24917
813,Whitley,IN,57565,34742
814,Adair,IA,69294,7389
815,Adams,IA,64379,3544
816,Allamakee,IA,55377,14074
817,Appanoose,IA,48205,12119
818,Audubon,IA,64517,5534
819,Benton,IA,70193,25796
820,Black Hawk,IA,55529,130471
821,Boone,IA,55664,26590
822,Bremer,IA,61420,25307
823,Buchanan,IA,61848,20691
824,Buena Vista,IA,53369,20567
825,Butler,IA,60549,14172
826,Calhoun,IA,60792,9763
827,Carroll,IA,65159,20522
828,Cass,IA,61849,13130
829,Cedar,IA,66315,18302
830,Cerro Gordo,IA,79493,42406
831,Cherokee,IA,95566,11605
832,Chickasaw,IA,106632,11658
833,Clarke,IA,50014,9588
834,Clay,IA,62951,16511
835,Clayton,IA,65588,16969
836,Clinton,IA,53442,46158
837,Crawford,IA,54564,16013
