,County,State_Abbreviation,Income,Population
2479,Gibson,TN,49536,51045
2480,Giles,TN,47548,30721
2481,Grainger,TN,45678,24681
2482,Greene,TN,44945,72577
2483,Grundy,TN,40453,13955
2484,Hamblen,TN,50094,66216
2485,Hamilton,TN,65525,379864
2486,Hancock,TN,33223,6956
2487,Hardeman,TN,36966,25567
2488,Hardin,TN,47525,27229
2489,Hawkins,TN,44192,58600
2490,Haywood,TN,40397,17328
2491,Henderson,TN,48395,28070
2492,Henry,TN,55959,32554
2493,Hickman,TN,45298,25826
2494,Houston,TN,41112,8393
2495,Humphreys,TN,47364,19209
2496,Jackson,TN,40132,12363
2497,Jefferson,TN,48184,57838
2498,Johnson,TN,40345,18375
2499,Knox,TN,67323,500669
2500,Lake,TN,32554,6347
2501,Lauderdale,TN,41198,24610
2502,Lawrence,TN,43273,46114
2503,Lewis,TN,44554,13066
2504,Lincoln,TN,51229,36169
2505,Loudon,TN,70063,60591
2506,McMinn,TN,45629,55678
2507,McNairy,TN,40085,26163
2508,Macon,TN,41530,26793
2509,Madison,TN,55537,99193
2510,Marion,TN,51590,29382
2511,Marshall,TN,50555,36961
2512,Maury,TN,57191,110760
2513,Meigs,TN,41017,13691
2514,Monroe,TN,44350,48594
2515,Montgomery,TN,52478,239872
2516,Moore,TN,51017,6748
2517,Morgan,TN,40237,21573
2518,Obion,TN,51945,30411
2519,Overton,TN,42000,23327
2520,Perry,TN,37048,8891
2521,Pickett,TN,42545,5128
2522,Polk,TN,42519,18033
2523,Putnam,TN,51132,83844
2524,Rhea,TN,45745,33924
2525,Roane,TN,53353,56096
2526,Robertson,TN,56484,76776
2527,Rutherford,TN,54623,367101
2528,Scott,TN,39326,22171
2529,Sequatchie,TN,48254,17161
2530,Sevier,TN,57533,99415
2531,Shelby,TN,61979,910042
2532,Smith,TN,50388,20538
2533,Stewart,TN,50483,14222
2534,Sullivan,TN,54453,162135
2535,Sumner,TN,67865,207994
2536,Tipton,TN,52829,62015
2537,Trousdale,TN,40015,12271
2538,Unicoi,TN,45593,17756
2539,Union,TN,43407,20741
2540,Van Buren,TN,36828,6493
2541,Warren,TN,44375,42638
2542,Washington,TN,55967,138420
2543,Wayne,TN,38758,16066
2544,Weakley,TN,47451,33084
2545,White,TN,42866,28692
2546,Williamson,TN,128610,264460
2547,Wilson,TN,68675,163674
2548,Anderson,TX,46478,57736
2549,Andrews,TX,57526,18664
2550,Angelina,TX,51080,87319
2551,Aransas,TX,68361,25374
2552,Archer,TX,67573,9029
2553,Armstrong,TX,71357,1832
2554,Atascosa,TX,48387,51784
2555,Austin,TX,65441,31677
2556,Bailey,TX,57209,6672
2557,Bandera,TX,62073,22637
2558,Bastrop,TX,47331,110778
2559,Baylor,TX,62964,3463
2560,Bee,TX,37156,30850
2561,Bell,TX,51898,393193
2562,Bexar,TX,57096,2087679
2563,Blanco,TX,78045,13048
2564,Borden,TX,155670,572
2565,Bosque,TX,57123,18996
2566,Bowie,TX,51132,91687
2567,Brazoria,TX,60088,398938
2568,Brazos,TX,50236,244703
2569,Brewster,TX,58475,9513
2570,Briscoe,TX,62907,1445
2571,Brooks,TX,45257,6848
2572,Brown,TX,49825,38709
2573,Burleson,TX,61181,19475
2574,Burnet,TX,67112,53991
2575,Caldwell,TX,44202,49859
2576,Calhoun,TX,59827,19696
2577,Callahan,TX,54394,14374
2578,Cameron,TX,38523,426710
2579,Camp,TX,50426,13000
2580,Carson,TX,61595,5878
2581,Cass,TX,49130,28659
2582,Castro,TX,108479,7227
2583,Chambers,TX,65907,53876
2584,Cherokee,TX,46221,52217
2585,Childress,TX,44285,6788
2586,Clay,TX,57095,10738
2587,Cochran,TX,49855,2509
2588,Coke,TX,56377,3352
2589,Coleman,TX,62085,7842
2590,Collin,TX,86860,1195359
2591,Collingsworth,TX,58742,2563
2592,Colorado,TX,64084,21117
2593,Comal,TX,77224,193928
2594,Comanche,TX,55417,14050
2595,Concho,TX,41175,3297
2596,Cooke,TX,62126,43782
2597,Coryell,TX,39462,84878
2598,Cottle,TX,106885,1294
2599,Crane,TX,57616,4574
2600,Crockett,TX,68799,2858
2601,Crosby,TX,55085,4917
2602,Culberson,TX,96410,2196
2603,Dallam,TX,82618,7237
2604,Dallas,TX,79626,2606358
2605,Dawson,TX,54953,12004
2606,Deaf Smith,TX,75549,18347
2607,Delta,TX,49467,5520
2608,Denton,TX,77733,1007703
2609,DeWitt,TX,77489,19929
2610,Dickens,TX,56301,1711
2611,Dimmit,TX,55714,8257
2612,Donley,TX,52905,3214
2613,Duval,TX,52669,9604
2614,Eastland,TX,56246,18037
2615,Ector,TX,58961,164494
2616,Edwards,TX,82497,1393
2617,Ellis,TX,57977,222829
2618,El Paso,TX,46753,869880
2619,Erath,TX,53610,44195
2620,Falls,TX,47110,17286
2621,Fannin,TX,49380,37571
2622,Fayette,TX,72230,25474
2623,Fisher,TX,62676,3612
2624,Floyd,TX,51829,5090
2625,Foard,TX,65386,1079
2626,Fort Bend,TX,73855,916778
2627,Franklin,TX,56987,10735
2628,Freestone,TX,47097,20441
2629,Frio,TX,41270,17987
2630,Gaines,TX,56478,22523
2631,Galveston,TX,64574,361744
2632,Garza,TX,49585,4517
2633,Gillespie,TX,93310,27733
2634,Glasscock,TX,132049,1141
2635,Goliad,TX,62484,7144
2636,Gonzales,TX,64553,19930
2637,Gray,TX,53508,20916
2638,Grayson,TX,55946,146907
2639,Gregg,TX,59997,126243
2640,Grimes,TX,44487,32384
2641,Guadalupe,TX,58644,188454
2642,Hale,TX,45103,31761
2643,Hall,TX,49814,2818
2644,Hamilton,TX,70580,8619
2645,Hansford,TX,103818,5071
2646,Hardeman,TX,60392,3490
2647,Hardin,TX,56424,58261
2648,Harris,TX,73862,4835125
2649,Harrison,TX,50269,70895
2650,Hartley,TX,107013,5145
2651,Haskell,TX,53538,5385
2652,Hays,TX,64671,280486
2653,Hemphill,TX,90724,3189
2654,Henderson,TX,52297,86158
2655,Hidalgo,TX,34373,898471
2656,Hill,TX,52054,38101
2657,Hockley,TX,53348,21460
2658,Hood,TX,66521,67774
2659,Hopkins,TX,55098,38172
2660,Houston,TX,53657,22066
2661,Howard,TX,66751,30554
2662,Hudspeth,TX,41438,3451
2663,Hunt,TX,50287,113347
2664,Hutchinson,TX,52596,20033
2665,Irion,TX,85857,1549
2666,Jack,TX,52599,8875
2667,Jackson,TX,54702,15221
2668,Jasper,TX,53205,32694
2669,Jeff Davis,TX,67092,1856
2670,Jefferson,TX,50131,251496
2671,Jim Hogg,TX,44294,4720
2672,Jim Wells,TX,51458,38662
2673,Johnson,TX,55487,202906
2674,Jones,TX,41722,20381
2675,Karnes,TX,83442,15018
2676,Kaufman,TX,53843,185690
2677,Kendall,TX,110116,50537
2678,Kenedy,TX,45802,343
2679,Kent,TX,71715,734
2680,Kerr,TX,69038,53915
2681,Kimble,TX,59148,4442
2682,King,TX,139825,217
2683,Kinney,TX,44642,3148
2684,Kleberg,TX,49333,30069
2685,Knox,TX,52798,3302
2686,Lamar,TX,51936,51127
2687,Lamb,TX,63169,12711
2688,Lampasas,TX,62665,23262
2689,La Salle,TX,50247,6537
2690,Lavaca,TX,71664,20571
2691,Lee,TX,59542,18240
2692,Leon,TX,62631,16538
2693,Liberty,TX,44184,108272
2694,Limestone,TX,52196,22250
2695,Lipscomb,TX,141712,2906
2696,Live Oak,TX,50483,11584
2697,Llano,TX,72121,22875
2698,Loving,TX,223419,43
2699,Lubbock,TX,54313,320940
2700,Lynn,TX,65814,5761
2701,McCulloch,TX,53630,7452
2702,McLennan,TX,53941,268583
2703,McMullen,TX,117599,568
2704,Madison,TX,45527,13742
2705,Marion,TX,52570,9571
2706,Martin,TX,107395,5216
2707,Mason,TX,63450,3931
2708,Matagorda,TX,53090,36359
2709,Maverick,TX,41009,57762
2710,Medina,TX,52854,54797
2711,Menard,TX,52791,1958
2712,Midland,TX,144532,177108
2713,Milam,TX,51236,25951
2714,Mills,TX,58522,4548
2715,Mitchell,TX,40541,9075
2716,Montague,TX,50251,21598
2717,Montgomery,TX,78644,711354
2718,Moore,TX,61988,21190
2719,Morris,TX,50538,12066
2720,Motley,TX,55185,1020
2721,Nacogdoches,TX,50541,65375
2722,Navarro,TX,46891,55635
2723,Newton,TX,44866,12039
2724,Nolan,TX,56320,14306
2725,Nueces,TX,56833,352289
2726,Ochiltree,TX,72100,9704
2727,Oldham,TX,89268,1783
2728,Orange,TX,51982,85722
2729,Palo Pinto,TX,54995,29747
2730,Panola,TX,60434,22838
2731,Parker,TX,74009,173494
2732,Parmer,TX,77006,9617
2733,Pecos,TX,49691,14623
2734,Polk,TX,49945,54186
2735,Potter,TX,58933,114647
2736,Presidio,TX,65420,5795
2737,Rains,TX,44559,12986
2738,Randall,TX,60604,148255
2739,Reagan,TX,71887,3141
2740,Real,TX,61576,2854
2741,Red River,TX,55403,11678
2742,Reeves,TX,76555,11770
2743,Refugio,TX,57772,6666
2744,Roberts,TX,64762,840
2745,Robertson,TX,58609,17267
2746,Rockwall,TX,77307,131307
2747,Runnels,TX,55707,9868
2748,Rusk,TX,47312,53079
2749,Sabine,TX,47303,10106
2750,San Augustine,TX,58852,7833
2751,San Jacinto,TX,47030,28936
2752,San Patricio,TX,53429,70660
2753,San Saba,TX,48235,5845
2754,Schleicher,TX,61904,2391
2755,Scurry,TX,54065,16212
2756,Shackelford,TX,91109,3229
2757,Shelby,TX,64203,24179
2758,Sherman,TX,173932,2678
2759,Smith,TX,66887,245209
2760,Somervell,TX,62988,9888
2761,Starr,TX,32785,65934
2762,Stephens,TX,49206,9343
2763,Sterling,TX,71876,1397
2764,Stonewall,TX,95644,1218
2765,Sutton,TX,75645,3221
2766,Swisher,TX,85037,6955
2767,Tarrant,TX,65765,2182947
2768,Taylor,TX,58181,146836
2769,Terrell,TX,66721,687
2770,Terry,TX,49822,11547
2771,Throckmorton,TX,53588,1526
2772,Titus,TX,52359,31357
2773,Tom Green,TX,65314,119057
2774,Travis,TX,91887,1334961
2775,Trinity,TX,49195,14228
2776,Tyler,TX,44662,20382
2777,Upshur,TX,46654,43281
2778,Upton,TX,88874,3109
2779,Uvalde,TX,55211,24960
2780,Val Verde,TX,50112,47720
2781,Van Zandt,TX,48399,64000
2782,Victoria,TX,58912,91664
2783,Walker,TX,35913,81268
2784,Waller,TX,55463,63553
2785,Ward,TX,67647,10966
2786,Washington,TX,73880,37007
2787,Webb,TX,42757,269148
2788,Wharton,TX,55902,41739
2789,Wheeler,TX,54067,4804
2790,Wichita,TX,55278,130180
2791,Wilbarger,TX,67115,12522
2792,Willacy,TX,35832,20037
2793,Williamson,TX,72828,697191
2794,Wilson,TX,59578,54183
2795,Winkler,TX,75821,7414
2796,Wise,TX,59092,78097
2797,Wood,TX,50764,47921
2798,Yoakum,TX,61028,7468
2799,Young,TX,69691,18124
2800,Zapata,TX,34154,13736
2801,Zavala,TX,47333,9312
2802,Beaver,UT,39982,7233
2803,Box Elder,UT,50990,62684
2804,Cache,UT,50603,142393
2805,Carbon,UT,49335,20609
2806,Daggett,UT,52788,992
2807,Davis,UT,62449,373207
2808,Duchesne,UT,51352,20477
2809,Emery,UT,42317,10144
2810,Garfield,UT,53930,5314
2811,Grand,UT,77028,9706
2812,Iron,UT,42301,64211
2813,Juab,UT,52701,13023
2814,Kane,UT,53294,8425
2815,Millard,UT,49823,13437
2816,Morgan,UT,71630,13000
2817,Piute,UT,61075,1550
2818,Rich,UT,52239,2670
2819,Salt Lake,UT,71787,1185813
2820,San Juan,UT,38753,14358
2821,Sanpete,UT,43717,30277
2822,Sevier,UT,46183,22344
2823,Summit,UT,259993,42759
2824,Tooele,UT,50274,82051
2825,Uintah,UT,41619,37747
2826,Utah,UT,57619,719174
2827,Wasatch,UT,92354,37144
2828,Washington,UT,54405,202452
2829,Wayne,UT,56495,2614
2830,Weber,UT,55832,271926
2831,Addison,VT,64395,37720
2832,Bennington,VT,65638,37183
2833,Caledonia,VT,53640,30610
2834,Chittenden,VT,76222,169481
2835,Essex,VT,47952,6010
2836,Franklin,VT,57298,50994
2837,Grand Isle,VT,74532,7467
2838,Lamoille,VT,68121,26060
2839,Orange,VT,59235,29943
2840,Orleans,VT,55293,27516
2841,Rutland,VT,61702,60271
2842,Washington,VT,73602,60142
2843,Windham,VT,59401,45966
2844,Windsor,VT,72177,58101
2845,Accomack,VA,52443,33239
2846,Amelia,VA,54587,13480
2847,Amherst,VA,47385,31396
2848,Appomattox,VA,47873,16864
2849,Arlington,VA,124345,234162
2850,Bath,VA,77195,4051
2851,Bedford,VA,57877,81525
2852,Bland,VA,46796,6179
2853,Botetourt,VA,64012,34125
2854,Brunswick,VA,45693,15749
2855,Buchanan,VA,49335,19087
2856,Buckingham,VA,39823,16978
2857,Caroline,VA,54299,32640
2858,Charles City,VA,61647,6610
2859,Charlotte,VA,47697,11336
2860,Chesterfield,VA,66800,383876
2861,Clarke,VA,82974,15466
2862,Craig,VA,50734,4843
2863,Culpeper,VA,60129,54973
2864,Cumberland,VA,48063,9878
2865,Dickenson,VA,44423,13640
2866,Essex,VA,55859,10598
2867,Fauquier,VA,86886,75165
2868,Floyd,VA,53008,15679
2869,Fluvanna,VA,57422,28462
2870,Franklin,VA,55820,55549
2871,Giles,VA,53100,16457
2872,Gloucester,VA,61214,40057
2873,Goochland,VA,125932,27197
2874,Grayson,VA,40784,15285
2875,Greene,VA,55760,21301
2876,Halifax,VA,47960,33432
2877,Hanover,VA,77005,114148
2878,Henrico,VA,77783,334760
2879,Highland,VA,50924,2339
2880,Isle of Wight,VA,69100,40711
2881,King and Queen,VA,59339,6720
2882,King George,VA,65579,28568
2883,King William,VA,57290,19030
2884,Lancaster,VA,82071,10859
2885,Lee,VA,41822,21745
2886,Loudoun,VA,102229,436347
2887,Louisa,VA,52957,41037
2888,Lunenburg,VA,41578,12038
2889,Madison,VA,60259,14128
2890,Mathews,VA,72439,8514
2891,Mecklenburg,VA,49625,30648
2892,Middlesex,VA,66200,10924
2893,Nelson,VA,67990,14705
2894,New Kent,VA,124129,26134
2895,Northampton,VA,65814,12021
2896,Northumberland,VA,64899,12391
2897,Nottoway,VA,46746,15566
2898,Orange,VA,62886,38574
2899,Page,VA,49221,23741
2900,Patrick,VA,42956,17509
2901,Powhatan,VA,72006,32105
2902,Prince Edward,VA,42333,22049
2903,Pulaski,VA,51836,33655
2904,Rappahannock,VA,89727,7414
2905,Richmond,VA,44081,9184
2906,Russell,VA,43189,25477
2907,Scott,VA,43448,21433
2908,Shenandoah,VA,56651,45228
2909,Smyth,VA,48244,29216
2910,Stafford,VA,68098,165428
2911,Surry,VA,55365,6593
2912,Sussex,VA,39253,10757
2913,Tazewell,VA,48157,39120
2914,Warren,VA,59324,41843
2915,Westmoreland,VA,53452,19013
2916,Wythe,VA,47343,28104
2917,Alexandria (Independent City),VA,115144,155230
2918,Chesapeake (Independent City),VA,62736,253886
2919,Hampton (Independent City),VA,52364,137098
2920,Newport News (Independent City),VA,50764,183118
2921,Norfolk (Independent City),VA,51434,230930
2922,Portsmouth (Independent City),VA,48985,96793
2923,Richmond (Independent City),VA,76912,229247
2924,Roanoke (Independent City),VA,56075,97171
2925,Suffolk (Independent City),VA,66130,100659
2926,Virginia Beach (Independent City),VA,72091,453649
2927,Albemarle + Charlottesville,VA,102987,160659
2928,Alleghany + Covington,VA,49149,20140
2929,Augusta,VA,55929,127344
2930,Campbell + Lynchburg,VA,48550,134805
2931,Carroll + Galax,VA,47671,35956
2932,Dinwiddie,VA,49623,80045
2933,Fairfax,VA,108855,1181707
2934,Frederick + Winchester,VA,65119,123611
2935,Greensville + Emporia,VA,42214,16596
2936,Henry + Martinsville,VA,50015,63465
2937,James City + Williamsburg,VA,81761,98501
2938,Montgomery + Radford,VA,49735,115637
2939,Pittsylvania + Danville,VA,48769,101408
2940,Prince George + Hopewell,VA,42550,65623
2941,Prince William,VA,68164,548697
2942,Roanoke + Salem,VA,63792,122626
2943,Rockbridge,VA,51661,36452
2944,Rockingham + Harrisonburg,VA,51573,137650
2945,Southampton + Franklin,VA,53011,26314
2946,Spotsylvania + Fredericksburg,VA,65590,178516
2947,Washington + Bristol,VA,50667,70857
2948,Wise + Norton,VA,44131,38666
2949,York + Poquoson,VA,73221,83587
2950,Adams,WA,52466,20820
2951,Asotin,WA,57199,22549
2952,Benton,WA,56969,215219
2953,Chelan,WA,68356,79997
2954,Clallam,WA,60321,77616
2955,Clark,WA,69318,521150
2956,Columbia,WA,62070,4053
2957,Cowlitz,WA,57947,112864
2958,Douglas,WA,51926,44798
2959,Ferry,WA,47534,7497
2960,Franklin,WA,48029,99034
2961,Garfield,WA,57405,2363
2962,Grant,WA,49727,102678
2963,Grays Harbor,WA,49968,77290
2964,Island,WA,70094,86267
2965,Jefferson,WA,68457,33714
2966,King,WA,122235,2271380
2967,Kitsap,WA,73841,277658
2968,Kittitas,WA,60053,45508
2969,Klickitat,WA,57126,23589
2970,Lewis,WA,59759,86154
2971,Lincoln,WA,51607,11738
2972,Mason,WA,54701,68389
2973,Okanogan,WA,52446,43712
2974,Pacific,WA,50282,24200
2975,Pend Oreille,WA,52605,14361
2976,Pierce,WA,65188,928696
2977,San Juan,WA,93395,18566
2978,Skagit,WA,67173,131417
2979,Skamania,WA,67073,12640
2980,Snohomish,WA,75320,844761
2981,Spokane,WA,58630,551455
2982,Stevens,WA,49484,48837
2983,Thurston,WA,65892,299003
2984,Wahkiakum,WA,54133,4765
2985,Walla Walla,WA,56420,61568
2986,Whatcom,WA,62095,231919
2987,Whitman,WA,48522,48012
2988,Yakima,WA,51488,256643
2989,Barbour,WV,42530,15378
2990,Berkeley,WV,54940,132440
2991,Boone,WV,43398,20576
2992,Braxton,WV,42520,12162
2993,Brooke,WV,53325,21373
2994,Cabell,WV,54209,92082
2995,Calhoun,WV,44580,5959
2996,Clay,WV,41070,7783
2997,Doddridge,WV,40875,7680
2998,Fayette,WV,47212,39072
2999,Gilmer,WV,38947,7254
3000,Grant,WV,47890,10921
3001,Greenbrier,WV,50142,32149
3002,Hampshire,WV,46417,23649
3003,Hancock,WV,53854,28145
3004,Hardy,WV,43439,14251
3005,Harrison,WV,63351,64639
3006,Jackson,WV,48978,27593
3007,Jefferson,WV,66514,59787
3008,Kanawha,WV,61400,174805
3009,Lewis,WV,46994,16500
3010,Lincoln,WV,38761,19701
3011,Logan,WV,46862,30827
3012,McDowell,WV,35813,17439
3013,Marion,WV,51911,55807
3014,Marshall,WV,51767,29405
3015,Mason,WV,44435,24765
3016,Mercer,WV,48086,58057
3017,Mineral,WV,49484,26867
3018,Mingo,WV,39157,22023
3019,Monongalia,WV,58418,107718
3020,Monroe,WV,42813,12382
3021,Morgan,WV,45801,17649
3022,Nicholas,WV,44299,24169
3023,Ohio,WV,67565,41194
3024,Pendleton,WV,52532,6029
3025,Pleasants,WV,53911,7428
3026,Pocahontas,WV,53487,7765
3027,Preston,WV,44252,34099
3028,Putnam,WV,58105,56962
3029,Raleigh,WV,51780,72356
3030,Randolph,WV,48669,27350
3031,Ritchie,WV,57425,8167
3032,Roane,WV,41660,13743
3033,Summers,WV,46136,11581
3034,Taylor,WV,52597,16388
3035,Tucker,WV,57622,6604
3036,Tyler,WV,62069,7919
3037,Upshur,WV,45382,23529
3038,Wayne,WV,44163,37686
3039,Webster,WV,34445,8045
3040,Wetzel,WV,47984,13890
3041,Wirt,WV,44759,5000
3042,Wood,WV,58971,83052
3043,Wyoming,WV,37028,20277
3044,Adams,WI,46249,21449
3045,Ashland,WI,49350,16079
3046,Barron,WI,60564,46833
3047,Bayfield,WI,55598,16769
3048,Brown,WI,65199,271417
3049,Buffalo,WI,57210,13419
3050,Burnett,WI,51815,17092
3051,Calumet,WI,61851,53199
3052,Chippewa,WI,56815,66970
3053,Clark,WI,50617,34774
3054,Columbia,WI,67169,58091
3055,Crawford,WI,51946,15944
3056,Dane,WI,77996,575347
3057,Dodge,WI,55856,88231
3058,Door,WI,78073,30562
3059,Douglas,WI,52634,44264
3060,Dunn,WI,50772,45794
3061,Eau Claire,WI,60575,107903
3062,Florence,WI,66422,4682
3063,Fond du Lac,WI,60018,103948
3064,Forest,WI,49367,9325
3065,Grant,WI,53781,51409
3066,Green,WI,65549,36951
3067,Green Lake,WI,53073,19344
3068,Iowa,WI,61591,23956
3069,Iron,WI,56207,6228
3070,Jackson,WI,52237,20855
3071,Jefferson,WI,58374,85743
3072,Juneau,WI,49419,26594
3073,Kenosha,WI,60599,167488
3074,Kewaunee,WI,58406,20690
3075,La Crosse,WI,62336,120486
3076,Lafayette,WI,55006,16945
3077,Langlade,WI,53770,19404
3078,Lincoln,WI,56296,28405
3079,Manitowoc,WI,57585,81331
3080,Marathon,WI,62707,138612
3081,Marinette,WI,53841,42106
3082,Marquette,WI,51068,15838
3083,Menominee,WI,42070,4226
3084,Milwaukee,WI,60114,916205
3085,Monroe,WI,52978,46151
3086,Oconto,WI,55183,39775
3087,Oneida,WI,60846,38226
3088,Outagamie,WI,64867,193234
3089,Ozaukee,WI,104780,93460
3090,Pepin,WI,64105,7441
3091,Pierce,WI,61101,43026
3092,Polk,WI,57391,45762
3093,Portage,WI,57490,71024
3094,Price,WI,55355,14102
3095,Racine,WI,62570,196613
3096,Richland,WI,53743,17197
3097,Rock,WI,56319,164278
3098,Rusk,WI,55836,14143
3099,St. Croix,WI,70354,96763
3100,Sauk,WI,66107,65920
3101,Sawyer,WI,54542,18552
3102,Shawano,WI,51974,41109
3103,Sheboygan,WI,63878,117752
3104,Taylor,WI,50834,20058
3105,Trempealeau,WI,52737,30899
3106,Vernon,WI,52023,31170
3107,Vilas,WI,65477,23885
3108,Walworth,WI,67665,105822
3109,Washburn,WI,58092,16930
3110,Washington,WI,73187,138168
3111,Waukesha,WI,91766,412591
3112,Waupaca,WI,56482,51388
3113,Waushara,WI,48666,24934
3114,Winnebago,WI,60180,171735
3115,Wood,WI,56746,73939
3116,Shawano (includes Menominee),WI,(NA),(NA)
3117,Albany,WY,54052,38257
3118,Big Horn,WY,50641,12018
3119,Campbell,WY,62147,47498
3120,Carbon,WY,68521,14334
3121,Converse,WY,70943,13809
3122,Crook,WY,63785,7592
3123,Fremont,WY,56891,39815
3124,Goshen,WY,54733,12642
3125,Hot Springs,WY,63816,4661
3126,Johnson,WY,70887,8759
3127,Laramie,WY,65150,100984
3128,Lincoln,WY,73432,20880
3129,Natrona,WY,79846,79941
3130,Niobrara,WY,59399,2354
3131,Park,WY,77015,30735
3132,Platte,WY,59292,8546
3133,Sheridan,WY,73622,32519
3134,Sublette,WY,70620,8969
3135,Sweetwater,WY,64115,41249
3136,Teton,WY,471751,23232
3137,Uinta,WY,49350,20745
3138,Washakie,WY,57474,7710
3139,Weston,WY,54380,6808
