County,State_Abbreviation,Year,PassRate,Income,County_State,GEOID,geometry
Taliaferro,GA,2021,,40684,"Taliaferro, GA",13265,"POLYGON ((-82.989899 33.603279, -83.00161 33.620242999999995, -82.987724 33.628941, -82.980102 33.614716, -82.970512 33.641726999999996, -82.951163 33.661272, -82.963678 33.676761, -82.978241 33.679888, -82.99560199999999 33.693583, -82.993133 33.701523, -82.949046 33.733333, -82.890599 33.632877, -82.879716 33.620748, -82.86933599999999 33.642404, -82.850325 33.639552, -82.83260299999999 33.650963, -82.812958 33.655836, -82.779913 33.632577, -82.74383 33.611442, -82.692039 33.619745, -82.679975 33.599792, -82.704968 33.587513, -82.71923799999999 33.563962, -82.72240099999999 33.538818, -82.740128 33.528618, -82.747339 33.51171, -82.787605 33.5107, -82.815315 33.521136999999996, -82.82314099999999 33.504075, -82.86660499999999 33.466598999999995, -82.85195399999999 33.443543, -82.872597 33.446416, -82.90179499999999 33.438787999999995, -82.93965999999999 33.442693999999996, -82.951222 33.451786999999996, -82.983657 33.447677, -83.01285299999999 33.469178, -82.98558799999999 33.489841, -82.986035 33.520356, -83.014038 33.580383, -82.989899 33.603279))"
Taliaferro,GA,2022,,43649,"Taliaferro, GA",13265,"POLYGON ((-82.989899 33.603279, -83.00161 33.620242999999995, -82.987724 33.628941, -82.980102 33.614716, -82.970512 33.641726999999996, -82.951163 33.661272, -82.963678 33.676761, -82.978241 33.679888, -82.99560199999999 33.693583, -82.993133 33.701523, -82.949046 33.733333, -82.890599 33.632877, -82.879716 33.620748, -82.86933599999999 33.642404, -82.850325 33.639552, -82.83260299999999 33.650963, -82.812958 33.655836, -82.779913 33.632577, -82.74383 33.611442, -82.692039 33.619745, -82.679975 33.599792, -82.704968 33.587513, -82.71923799999999 33.563962, -82.72240099999999 33.538818, -82.740128 33.528618, -82.747339 33.51171, -82.787605 33.5107, -82.815315 33.521136999999996, -82.82314099999999 33.504075, -82.86660499999999 33.466598999999995, -82.85195399999999 33.443543, -82.872597 33.446416, -82.90179499999999 33.438787999999995, -82.93965999999999 33.442693999999996, -82.951222 33.451786999999996, -82.983657 33.447677, -83.01285299999999 33.469178, -82.98558799999999 33.489841, -82.986035 33.520356, -83.014038 33.580383, -82.989899 33.603279))"
Grady,GA,2019,18.292682926829258,31894,"Grady, GA",13131,"POLYGON ((-84.37594 31.004389999999997, -84.376612 31.078882999999998, -84.116644 31.077970999999998, -84.118633 30.96987, -84.076347 30.905958, -84.079514 30.881017, -84.07291 30.865150999999997, -84.08252399999999 30.85382, -84.08027799999999 30.844808999999998, -84.08375705716549 30.675802634493497, -84.107796 30.676809, -84.12499299999999 30.678037, -84.250002 30.684136, -84.281313 30.685247, -84.2825636638089 30.685307571749597, -84.375012 30.689784999999997, -84.3807060980397 30.689956554824498, -84.37594 31.004389999999997))"
Grady,GA,2020,25.563909774436087,35506,"Grady, GA",13131,"POLYGON ((-84.37594 31.004389999999997, -84.376612 31.078882999999998, -84.116644 31.077970999999998, -84.118633 30.96987, -84.076347 30.905958, -84.079514 30.881017, -84.07291 30.865150999999997, -84.08252399999999 30.85382, -84.08027799999999 30.844808999999998, -84.08375705716549 30.675802634493497, -84.107796 30.676809, -84.12499299999999 30.678037, -84.250002 30.684136, -84.281313 30.685247, -84.2825636638089 30.685307571749597, -84.375012 30.689784999999997, -84.3807060980397 30.689956554824498, -84.37594 31.004389999999997))"
Grady,GA,2021,16.7487684729064,39012,"Grady, GA",13131,"POLYGON ((-84.37594 31.004389999999997, -84.376612 31.078882999999998, -84.116644 31.077970999999998, -84.118633 30.96987, -84.076347 30.905958, -84.079514 30.881017, -84.07291 30.865150999999997, -84.08252399999999 30.85382, -84.08027799999999 30.844808999999998, -84.08375705716549 30.675802634493497, -84.107796 30.676809, -84.12499299999999 30.678037, -84.250002 30.684136, -84.281313 30.685247, -84.2825636638089 30.685307571749597, -84.375012 30.689784999999997, -84.3807060980397 30.689956554824498, -84.37594 31.004389999999997))"
Grady,GA,2022,18.78172588832487,38487,"Grady, GA",13131,"POLYGON ((-84.37594 31.004389999999997, -84.376612 31.078882999999998, -84.116644 31.077970999999998, -84.118633 30.96987, -84.076347 30.905958, -84.079514 30.881017, -84.07291 30.865150999999997, -84.08252399999999 30.85382, -84.08027799999999 30.844808999999998, -84.08375705716549 30.675802634493497, -84.107796 30.676809, -84.12499299999999 30.678037, -84.250002 30.684136, -84.281313 30.685247, -84.2825636638089 30.685307571749597, -84.375012 30.689784999999997, -84.3807060980397 30.689956554824498, -84.37594 31.004389999999997))"
Jefferson,GA,2019,8.23529411764705,33801,"Jefferson, GA",13163,"POLYGON ((-82.661917 33.126331, -82.589096 33.123554999999996, -82.578816 33.119839999999996, -82.57412699999999 33.151790999999996, -82.584942 33.171453, -82.470899 33.250124, -82.431957 33.27483, -82.38382899999999 33.312106, -82.371972 33.310879, -82.353498 33.312318, -82.341456 33.31174, -82.30129 33.288304, -82.295952 33.276573, -82.26758 33.267396999999995, -82.249573 33.253254, -82.23873499999999 33.231896, -82.232554 33.231211, -82.266724 33.153402, -82.281054 33.110354, -82.29118 33.062827, -82.272353 32.937796, -82.291467 32.888453999999996, -82.316512 32.835772, -82.320435 32.840033, -82.35481999999999 32.827281, -82.361637 32.816393999999995, -82.41857999999999 32.811315, -82.398331 32.777445, -82.43414899999999 32.762257999999996, -82.458249 32.768223, -82.50221599999999 32.800917, -82.521052 32.822356, -82.52595199999999 32.833557, -82.510851 32.917753999999995, -82.539352 32.947752, -82.543069 32.976251999999995, -82.550225 33.019351, -82.555962 33.014128, -82.598018 33.032013, -82.604348 33.045538, -82.617899 33.051144, -82.612873 33.057764, -82.64156899999999 33.084392, -82.638105 33.100701, -82.645838 33.101143, -82.661917 33.126331))"
Jefferson,GA,2020,9.09090909090909,38486,"Jefferson, GA",13163,"POLYGON ((-82.661917 33.126331, -82.589096 33.123554999999996, -82.578816 33.119839999999996, -82.57412699999999 33.151790999999996, -82.584942 33.171453, -82.470899 33.250124, -82.431957 33.27483, -82.38382899999999 33.312106, -82.371972 33.310879, -82.353498 33.312318, -82.341456 33.31174, -82.30129 33.288304, -82.295952 33.276573, -82.26758 33.267396999999995, -82.249573 33.253254, -82.23873499999999 33.231896, -82.232554 33.231211, -82.266724 33.153402, -82.281054 33.110354, -82.29118 33.062827, -82.272353 32.937796, -82.291467 32.888453999999996, -82.316512 32.835772, -82.320435 32.840033, -82.35481999999999 32.827281, -82.361637 32.816393999999995, -82.41857999999999 32.811315, -82.398331 32.777445, -82.43414899999999 32.762257999999996, -82.458249 32.768223, -82.50221599999999 32.800917, -82.521052 32.822356, -82.52595199999999 32.833557, -82.510851 32.917753999999995, -82.539352 32.947752, -82.543069 32.976251999999995, -82.550225 33.019351, -82.555962 33.014128, -82.598018 33.032013, -82.604348 33.045538, -82.617899 33.051144, -82.612873 33.057764, -82.64156899999999 33.084392, -82.638105 33.100701, -82.645838 33.101143, -82.661917 33.126331))"
Jefferson,GA,2021,1.6129032258064497,42752,"Jefferson, GA",13163,"POLYGON ((-82.661917 33.126331, -82.589096 33.123554999999996, -82.578816 33.119839999999996, -82.57412699999999 33.151790999999996, -82.584942 33.171453, -82.470899 33.250124, -82.431957 33.27483, -82.38382899999999 33.312106, -82.371972 33.310879, -82.353498 33.312318, -82.341456 33.31174, -82.30129 33.288304, -82.295952 33.276573, -82.26758 33.267396999999995, -82.249573 33.253254, -82.23873499999999 33.231896, -82.232554 33.231211, -82.266724 33.153402, -82.281054 33.110354, -82.29118 33.062827, -82.272353 32.937796, -82.291467 32.888453999999996, -82.316512 32.835772, -82.320435 32.840033, -82.35481999999999 32.827281, -82.361637 32.816393999999995, -82.41857999999999 32.811315, -82.398331 32.777445, -82.43414899999999 32.762257999999996, -82.458249 32.768223, -82.50221599999999 32.800917, -82.521052 32.822356, -82.52595199999999 32.833557, -82.510851 32.917753999999995, -82.539352 32.947752, -82.543069 32.976251999999995, -82.550225 33.019351, -82.555962 33.014128, -82.598018 33.032013, -82.604348 33.045538, -82.617899 33.051144, -82.612873 33.057764, -82.64156899999999 33.084392, -82.638105 33.100701, -82.645838 33.101143, -82.661917 33.126331))"
Jefferson,GA,2022,3.38983050847457,41525,"Jefferson, GA",13163,"POLYGON ((-82.661917 33.126331, -82.589096 33.123554999999996, -82.578816 33.119839999999996, -82.57412699999999 33.151790999999996, -82.584942 33.171453, -82.470899 33.250124, -82.431957 33.27483, -82.38382899999999 33.312106, -82.371972 33.310879, -82.353498 33.312318, -82.341456 33.31174, -82.30129 33.288304, -82.295952 33.276573, -82.26758 33.267396999999995, -82.249573 33.253254, -82.23873499999999 33.231896, -82.232554 33.231211, -82.266724 33.153402, -82.281054 33.110354, -82.29118 33.062827, -82.272353 32.937796, -82.291467 32.888453999999996, -82.316512 32.835772, -82.320435 32.840033, -82.35481999999999 32.827281, -82.361637 32.816393999999995, -82.41857999999999 32.811315, -82.398331 32.777445, -82.43414899999999 32.762257999999996, -82.458249 32.768223, -82.50221599999999 32.800917, -82.521052 32.822356, -82.52595199999999 32.833557, -82.510851 32.917753999999995, -82.539352 32.947752, -82.543069 32.976251999999995, -82.550225 33.019351, -82.555962 33.014128, -82.598018 33.032013, -82.604348 33.045538, -82.617899 33.051144, -82.612873 33.057764, -82.64156899999999 33.084392, -82.638105 33.100701, -82.645838 33.101143, -82.661917 33.126331))"
Menominee,WI,2019,,34401,"Menominee, WI",55078,"POLYGON ((-88.982176 45.117733, -88.930554 45.11781, -88.641159 45.117346, -88.48373199999999 45.116887, -88.489149 44.855444999999996, -88.736194 44.856376, -88.735548 44.943177999999996, -88.981319 44.942744999999995, -88.98168 45.028917, -88.982176 45.117733))"
Menominee,WI,2020,,37076,"Menominee, WI",55078,"POLYGON ((-88.982176 45.117733, -88.930554 45.11781, -88.641159 45.117346, -88.48373199999999 45.116887, -88.489149 44.855444999999996, -88.736194 44.856376, -88.735548 44.943177999999996, -88.981319 44.942744999999995, -88.98168 45.028917, -88.982176 45.117733))"
